requirement_id,bound_tests,executed_tests,passed_tests,failed_tests,status,test_ids,test_files
REQ-DOM-005,3,3,3,0,PASS,claim_tests::test_claim_graph_rejects_unknown_limitation_identity;claim_tests::test_claim_graph_rejects_unknown_reference_identity;claim_tests::test_design_around_requires_a_recorded_threat,crates/domain/src/lib.rs
REQ-DOM-006,5,5,5,0,PASS,commands::tests::test_check_support_matrix_blocks_unanchored_limitations;support_matrix_tests::test_blank_anchor_reference_is_rejected;support_matrix_tests::test_export_with_no_limitations_is_trivially_supported;support_matrix_tests::test_support_matrix_maps_limitations_to_anchors;support_matrix_tests::test_unanchored_limitation_blocks_export,apps/desktop/src-tauri/src/commands.rs;crates/domain/src/lib.rs
REQ-DOM-007,4,3,3,0,PASS,commands::tests::test_docket_requires_filing_before_commercialization;commands::tests::test_opportunity_validates_scores_and_uncertainty;docket_tests::test_docket_state_machine,apps/desktop/src-tauri/src/commands.rs;crates/domain/src/lib.rs
REQ-DOM-008,5,4,4,0,PASS,commands::tests::test_export_firewall_blocks_restricted_content;commands::tests::test_export_gateway_hardens_paths_and_blocks_restricted;commands::tests::test_research_validates_its_inputs;firewall_tests::test_disclosure_firewall,apps/desktop/src-tauri/src/commands.rs;crates/evidence/src/lib.rs
REQ-DOM-009,6,6,6,0,PASS,commands::tests::test_schedule_docket_deadline_requires_ruleset_authority;docket_tests::test_authoritative_deadline_rejects_an_empty_date;docket_tests::test_deadline_requires_ruleset_source_and_version;docket_tests::test_deadline_with_a_ruleset_is_authoritative;docket_tests::test_deadline_without_a_ruleset_is_never_authoritative;docket_tests::test_model_suggestion_is_not_authoritative_until_confirmed,apps/desktop/src-tauri/src/commands.rs;crates/domain/src/lib.rs
REQ-DOM-010,4,4,4,0,PASS,capsule_tests::test_export_guard_accepts_a_fully_redacted_capsule;capsule_tests::test_export_guard_rejects_surviving_registered_secret;capsule_tests::test_punctuation_wrapped_tokens_are_scrubbed_before_export;capsule_tests::test_redaction_covers_key_values_not_only_token_shapes,crates/crash_reporter/src/lib.rs
REQ-FOUND-001,1,1,1,0,PASS,test_workspace_membership_and_tauri_2x_foundation,crates/platform_windows/tests/licensing_policy.rs
REQ-FOUND-002,4,4,4,0,PASS,tests::test_config_parses_environment_once_into_typed_values;tests::test_missing_required_value_is_an_error_not_a_fallback;tests::test_release_runtime_is_parsed;tests::test_unknown_keys_warn_in_development_and_fail_in_release,crates/platform_windows/src/lib.rs
REQ-LIC-001,2,1,1,0,PASS,test_redistributed_core_uses_the_permissive_allowlist,crates/platform_windows/tests/licensing_policy.rs
REQ-LIC-002,1,1,1,0,PASS,test_license_scanners_agree_and_the_sbom_records_spdx_and_source,crates/platform_windows/tests/licensing_policy.rs
REQ-LIC-003,1,1,1,0,PASS,test_dependency_versions_are_pinned_and_never_floated,crates/platform_windows/tests/licensing_policy.rs
REQ-LLM-001,8,7,7,0,PASS,commands::tests::test_local_inference_refuses_non_loopback_endpoint;commands::tests::test_local_inference_returns_no_text_when_no_model_is_served;mcp_tests::probe_injection_filter_covers_variants;mcp_tests::test_injection_filter_allows_benign_payloads;tests::test_extract_text_fails_closed_on_missing_field;tests::test_local_adapter_rejects_non_loopback_endpoint;tests::test_unreachable_endpoint_fails_closed_not_fabricated,apps/desktop/src-tauri/src/commands.rs;crates/mcp_hub/src/lib.rs;crates/provider_transport/src/lib.rs
REQ-LLM-002,2,2,2,0,PASS,commands::tests::test_correlation_ids_are_unique;commands::tests::test_namespace_status_covers_spec_003_and_is_honest,apps/desktop/src-tauri/src/commands.rs
REQ-LLM-003,2,2,2,0,PASS,commands::tests::test_command_result_serializes_envelope;tests::test_empty_prompt_is_rejected_before_any_io,apps/desktop/src-tauri/src/commands.rs;crates/provider_transport/src/lib.rs
REQ-LLM-004,2,2,2,0,PASS,commands::tests::test_provider_status_local_lane_is_measured_and_others_are_not_configured;tests::test_unimplemented_transport_never_succeeds,apps/desktop/src-tauri/src/commands.rs;crates/provider_transport/src/lib.rs
REQ-MCP-001,6,5,5,0,PASS,commands::tests::test_local_inference_rejects_empty_prompt;commands::tests::test_mcp_capability_grant_is_explicit;mcp_tests::test_grant_capability_is_idempotent;mcp_tests::test_mcp_grants_and_boundaries;mcp_tests::test_unknown_client_has_no_capabilities,apps/desktop/src-tauri/src/commands.rs;crates/mcp_hub/src/lib.rs
REQ-OPS-001,2,2,2,0,PASS,commands::tests::test_error_serializes_with_spec_006_class;commands::tests::test_export_validates_scope_content_and_sensitivity,apps/desktop/src-tauri/src/commands.rs
REQ-OPS-002,10,9,9,0,PASS,commands::tests::test_research_coverage_and_partial_completion_at_the_boundary;research_tests::test_full_coverage_completes_without_a_checkpoint;research_tests::test_partial_research_persists_a_checkpoint_and_marks_coverage;research_tests::test_research_completion;research_tests::test_task_with_no_declared_scope_is_trivially_complete;tests::test_non_transient_failure_is_not_retried;tests::test_only_external_transient_failures_are_retryable;tests::test_retry_policy_rejects_an_unbounded_or_zero_bound;tests::test_transient_failure_is_retried_up_to_the_bound,apps/desktop/src-tauri/src/commands.rs;crates/provider_transport/src/lib.rs;crates/research/src/lib.rs
REQ-OPS-003,3,2,2,0,PASS,soak_tests::test_soak_does_not_fabricate_a_leak;soak_tests::test_soak_measures_real_memory_growth,crates/application/src/lib.rs
REQ-OPS-010,13,11,11,0,PASS,commands::tests::test_diagnostics_report_induced_failure_with_correlation_and_redaction;commands::tests::test_provider_status_local_lane_is_measured_and_others_are_not_configured;telemetry_tests::test_telemetry_correlation;tests::test_health_against_real_app_data_path;tests::test_health_reflects_missing_storage_directory;tests::test_health_rejects_file_as_storage_path;tests::test_health_reports_degraded_for_unavailable_storage;tests::test_health_reports_ok_for_writable_root;tests::test_health_reports_ok_for_writable_storage;tests::test_health_version_matches_crate_version;tests::test_health_with_no_probes_is_not_ok,apps/desktop/src-tauri/src/commands.rs;apps/desktop/src-tauri/src/lib.rs;crates/application/src/lib.rs;crates/crash_reporter/src/lib.rs
REQ-OPS-011,5,4,4,0,PASS,redaction_tests::probe_redactor_scrubs_unregistered_secrets;redaction_tests::test_redactor_ignores_empty_secret;redaction_tests::test_redactor_preserves_ordinary_text;redaction_tests::test_secret_redaction_canary,crates/evidence/src/lib.rs
REQ-PAT-001,2,2,2,0,PASS,builder_tests::test_claim_linter;commands::tests::test_lint_claims_uses_the_real_linter,apps/desktop/src-tauri/src/commands.rs;crates/patent/src/lib.rs
REQ-PAT-002,4,4,4,0,PASS,builder_tests::test_manifest_digest_depends_on_both_inputs;builder_tests::test_package_builder;builder_tests::test_package_builder_does_not_claim_unimplemented_formats;commands::tests::test_build_filing_package_does_not_claim_a_document_format,apps/desktop/src-tauri/src/commands.rs;crates/patent/src/lib.rs
REQ-PAT-003,7,7,7,0,PASS,claim_tests::test_claim_classes_are_a_closed_set_of_seven;claim_tests::test_empty_claim_text_is_rejected;claim_tests::test_non_observation_classes_require_method_and_contrary_evidence;claim_tests::test_non_observation_may_not_claim_a_source_record;claim_tests::test_observation_may_be_emitted_from_a_source_record;commands::tests::test_classify_research_claim_enforces_class_provenance;tournament_tests::test_rerun_replaces_previous_verdicts,apps/desktop/src-tauri/src/commands.rs;crates/research/src/lib.rs
REQ-PAT-004,3,3,3,0,PASS,action_tests::test_office_action_workspace;commands::tests::test_docket_validates_inputs;commands::tests::test_office_action_refuses_allowance_response,apps/desktop/src-tauri/src/commands.rs;crates/patent/src/lib.rs
REQ-PAT-005,8,7,7,0,PASS,commands::tests::test_filing_handoff_reports_blockers_and_never_automates;commands::tests::test_import_receipt_fails_closed_on_bad_input;commands::tests::test_import_receipt_parses_real_values;manifest_tests::probe_receipt_import_parses_input;manifest_tests::test_receipt_import_accepts_realistic_receipt;manifest_tests::test_receipt_import_fails_closed_on_malformed_input;manifest_tests::test_uspto_manifest_handoff,apps/desktop/src-tauri/src/commands.rs;crates/patent/src/lib.rs
REQ-PLAT-001,2,1,1,0,PASS,tests::test_app_paths,crates/platform_windows/src/lib.rs
REQ-PLAT-002,3,2,2,0,PASS,test_local_first_core_works_with_a_local_model_and_no_network;test_local_first_proof_names_a_real_local_model_and_endpoint,crates/platform_windows/tests/local_first.rs
REQ-PLAT-003,2,2,2,0,PASS,tests::test_current_rss_bytes_is_a_real_measurement;tests::test_memory_keyring,crates/platform_windows/src/lib.rs
REQ-REL-001,0,0,0,0,NO_BOUND_TEST,,
REQ-REL-002,2,1,1,0,PASS,test_local_first_core_works_with_a_local_model_and_no_network,crates/platform_windows/tests/local_first.rs
REQ-REL-003,1,1,1,0,PASS,commands::tests::test_filing_handoff_reports_blockers_and_never_automates,apps/desktop/src-tauri/src/commands.rs
REQ-REL-004,0,0,0,0,NO_BOUND_TEST,,
REQ-REL-005,7,7,7,0,PASS,commands::tests::test_backup_and_restore_commands_reconcile;commands::tests::test_restore_recovers_from_a_lost_and_from_a_corrupt_vault;e2e::exposes backup and recovery and states the point-in-time limit;vault::tests::test_backup_and_restore_reconcile_to_the_snapshot;vault::tests::test_digest_of_is_read_only_and_refuses_non_vaults;vault::tests::test_recovered_state_survives_a_hard_restart;vault::tests::test_state_digest_observes_content_not_layout,apps/desktop/e2e/shell.spec.ts;apps/desktop/src-tauri/src/commands.rs;crates/storage/src/vault.rs
REQ-REPAIR-001,5,5,5,0,PASS,capsule_tests::test_empty_secret_is_not_registered;capsule_tests::test_flag_alone_is_not_sufficient;capsule_tests::test_redaction_actually_removes_invention_content;capsule_tests::test_token_shaped_secrets_are_scrubbed_without_registration;commands::tests::test_repair_capsule_redacts_secrets,apps/desktop/src-tauri/src/commands.rs;crates/crash_reporter/src/lib.rs
REQ-REPAIR-002,3,2,2,0,PASS,capsule_tests::test_sanitized_repair_capsule;redaction_tests::test_redaction_report_evidences_the_pass,crates/crash_reporter/src/lib.rs;crates/evidence/src/lib.rs
REQ-RES-001,3,3,3,0,PASS,commands::tests::test_research_citation_accumulates_and_is_refused_when_finished;commands::tests::test_research_lifecycle_happy_path;commands::tests::test_research_rejects_illegal_transition,apps/desktop/src-tauri/src/commands.rs
REQ-RES-002,1,1,1,0,PASS,vault::tests::test_migrations_are_recorded_and_idempotent,crates/storage/src/vault.rs
REQ-SCOPE-001,8,6,6,0,PASS,commands::tests::test_scope_map_and_five_truth_boundaries_hold_at_the_product_boundary;e2e::declares the scope surface and reports it honestly when disconnected;scope::tests::test_boundary_guard_refuses_promises_and_permits_honest_text;scope::tests::test_five_truth_boundaries_are_declared_and_enforced;scope::tests::test_scope_map_does_not_over_claim;scope::tests::test_scope_map_is_complete_and_one_to_one,apps/desktop/e2e/shell.spec.ts;apps/desktop/src-tauri/src/commands.rs;crates/domain/src/scope.rs
REQ-SEC-001,5,4,4,0,PASS,commands::tests::test_local_inference_refuses_non_loopback_endpoint;tests::test_local_adapter_rejects_non_loopback_endpoint;vault::tests::test_events_are_workspace_scoped;vault::tests::test_unknown_workspace_is_refused,apps/desktop/src-tauri/src/commands.rs;crates/provider_transport/src/lib.rs;crates/storage/src/vault.rs
REQ-SEC-002,5,4,4,0,PASS,hardening_tests::test_archive_entry_rejects_zip_slip;hardening_tests::test_input_hardening;hardening_tests::test_sanitize_path_property_over_generated_corpus;policy_tests::test_egress_policy,crates/evidence/src/lib.rs
REQ-SEC-003,3,3,3,0,PASS,commands::tests::test_local_inference_rejects_empty_prompt;commands::tests::test_mcp_capability_grant_is_explicit;mcp_tests::test_unknown_client_has_no_capabilities,apps/desktop/src-tauri/src/commands.rs;crates/mcp_hub/src/lib.rs
REQ-SEC-010,6,5,5,0,PASS,sandbox_tests::test_git_sandbox_proof;threat_control_tests::test_allowlist_holds_no_cryptographic_material;threat_control_tests::test_allowlist_registration_is_idempotent;threat_control_tests::test_allowlist_rejects_empty_values;threat_control_tests::test_update_signature_verification,crates/application/src/lib.rs;crates/evidence/src/lib.rs
REQ-SHIP-001,4,4,4,0,PASS,live_fire_tests::test_completed_runs_cannot_be_fabricated;live_fire_tests::test_duplicate_runs_count_once;live_fire_tests::test_failing_runs_do_not_count_as_completed;live_fire_tests::test_uo_live_fire_and_regression,crates/commercialization/src/lib.rs
REQ-UI-001,1,1,1,0,PASS,e2e::exposes primary navigation for all thirteen surfaces,apps/desktop/e2e/shell.spec.ts
REQ-UI-002,1,1,1,0,PASS,e2e::shows the four persistent top-level status badges,apps/desktop/e2e/shell.spec.ts
REQ-UI-003,1,1,1,0,PASS,e2e::uses screening vocabulary and never definitive legal conclusions,apps/desktop/e2e/shell.spec.ts
REQ-UI-004,1,1,1,0,PASS,e2e::high-impact actions require a consequence-specific confirmation,apps/desktop/e2e/shell.spec.ts
